dataset,split,method,context_len,ttft_sec,ttft_sec_std,tpot_sec,tpot_sec_std,e2e_sec,e2e_sec_std,throughput_tok_per_sec,throughput_tok_per_sec_std,generated_tokens,speed_repeats,source
pg19,test,baseline,128,0.0829245333337288,0.003413855724059608,0.012354322222226646,2.0176341318636655e-05,0.8612479000003077,0.004091864038529891,74.31189403659725,0.35290306980605235,64,3,metrics_baseline_pg19_test.json
pg19,test,baseline,512,0.23580693333345457,0.01730746769769624,0.013029199999995177,0.0006033543130729638,1.0566476666666251,0.04544700007815557,60.64477530547409,2.646281981596331,64,3,metrics_baseline_pg19_test.json
pg19,test,baseline,1024,0.42168789999990014,0.004956380512930347,0.014774903174603188,0.00017838347790220086,1.3525081999999504,0.012449991475002434,47.322150942789825,0.43339738584345444,64,3,metrics_baseline_pg19_test.json
pg19,test,gqa_reduced_kv2,128,0.09529976666666092,0.0008472289913198786,0.01304705449735001,0.0001303557188434798,0.9172655666664772,0.008348853790937655,69.77643547189209,0.6327180008069602,64,3,metrics_gqa_pg19_test.json
pg19,test,gqa_reduced_kv2,512,0.27135983333331143,0.01255130034935993,0.014071351322748886,5.388270044527346e-05,1.1578560333330945,0.015931139311534975,55.28154517820694,0.7599143347782642,64,3,metrics_gqa_pg19_test.json
pg19,test,gqa_reduced_kv2,1024,0.6441789333330235,0.0404193114168895,0.014263976719573615,0.00033317097425641424,1.5428106333332228,0.059545283500159994,41.52343941104932,1.5823461672252126,64,3,metrics_gqa_pg19_test.json
pg19,test,kvpress_knorm_r0.5,128,0.12763379999978497,0.026467465035831837,0.01363228677248463,0.0007410677941031691,0.9864689666665072,0.06669913735983829,65.07323906637238,4.337144682731299,64,3,metrics_kvpress_knorm_r0.5_pg19_test.json
pg19,test,kvpress_knorm_r0.5,512,0.31903843333354115,0.023100101198672663,0.014704382010581121,0.001662956979883201,1.245415699999891,0.1277721373270491,51.733488958829945,5.046518436066903,64,3,metrics_kvpress_knorm_r0.5_pg19_test.json
pg19,test,kvpress_knorm_r0.5,1024,0.6191411333329597,0.025672460052935223,0.015150433862434405,0.0004400098548336833,1.5736194999999498,0.04337097015930095,40.69115919252393,1.120761506552596,64,3,metrics_kvpress_knorm_r0.5_pg19_test.json
pg19,test,kvpress_streamingllm_r0.5_sink4,128,0.10720293333300408,0.005269542653220677,0.013619189947084118,0.0007302712291946521,0.9652132666663723,0.0468646190768529,66.40865687774702,3.153667286739543,64,3,metrics_kvpress_streamingllm_r0.5_pg19_test.json
pg19,test,kvpress_streamingllm_r0.5_sink4,512,0.2794091333335018,0.037218636892208216,0.012880175132277289,0.000900509850713512,1.0908611333337224,0.0763861879961857,58.85416013382468,3.961107643432231,64,3,metrics_kvpress_streamingllm_r0.5_pg19_test.json
pg19,test,kvpress_streamingllm_r0.5_sink4,1024,0.4245885666665951,0.014507530358548069,0.013012837037042127,0.00016459396825867567,1.2443984333331173,0.01982363864830499,51.43910279590217,0.812590732935665,64,3,metrics_kvpress_streamingllm_r0.5_pg19_test.json
wikitext,test,baseline,128,0.1188428666667581,0.08376084672280612,0.019424718518517913,0.0057672310310154205,1.3426015000001523,0.4433682802689486,50.87172841517712,14.642829658899801,64,3,metrics_baseline_wikitext_test.json
wikitext,test,baseline,512,0.5689187666663807,0.09014196457178171,0.020437806349205116,0.005077742616800068,1.8565017666666488,0.26561584257852516,34.95005954221852,5.0140914036717295,64,3,metrics_baseline_wikitext_test.json
wikitext,test,baseline,1024,0.32458660000005085,0.037570577607687734,0.014731782539687599,0.000723041575323128,1.2526899666666698,0.08093220426631352,51.23787722430891,3.432263248737693,64,3,metrics_baseline_wikitext_test.json
wikitext,test,gqa_reduced_kv2,128,0.2339902666665997,0.01508734402131962,0.025143035978842855,0.001796579074995902,1.818003099999866,0.09869339239007664,35.27116610168997,1.8711859680641332,64,3,metrics_gqa_wikitext_test.json
